,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen,month_abbr
0,yoga pants,61,2018,6,google,779,65,12,Jun
1,yoga pants,68,2018,7,google,779,65,12,Jul
2,yoga pants,107,2018,8,google,779,65,12,Aug
3,yoga pants,63,2018,9,google,779,65,12,Sep
4,yoga pants,72,2018,10,google,779,65,12,Oct
5,yoga pants,77,2018,11,google,779,65,12,Nov
6,yoga pants,56,2018,12,google,779,65,12,Dec
7,yoga pants,50,2019,1,google,779,65,12,Jan
8,yoga pants,42,2019,2,google,779,65,12,Feb
9,yoga pants,64,2019,3,google,779,65,12,Mar
10,yoga pants,66,2019,4,google,779,65,12,Apr
11,yoga pants,53,2019,5,google,779,65,12,May
12,sweatpants,35,2018,6,google,750,62,12,Jun
13,sweatpants,46,2018,7,google,750,62,12,Jul
14,sweatpants,45,2018,8,google,750,62,12,Aug
15,sweatpants,56,2018,9,google,750,62,12,Sep
16,sweatpants,88,2018,10,google,750,62,12,Oct
17,sweatpants,80,2018,11,google,750,62,12,Nov
18,sweatpants,79,2018,12,google,750,62,12,Dec
19,sweatpants,71,2019,1,google,750,62,12,Jan
20,sweatpants,74,2019,2,google,750,62,12,Feb
21,sweatpants,72,2019,3,google,750,62,12,Mar
22,sweatpants,52,2019,4,google,750,62,12,Apr
23,sweatpants,52,2019,5,google,750,62,12,May
24,sweatshirt,146,2018,6,google,3455,288,12,Jun
25,sweatshirt,282,2018,7,google,3455,288,12,Jul
26,sweatshirt,350,2018,8,google,3455,288,12,Aug
27,sweatshirt,369,2018,9,google,3455,288,12,Sep
28,sweatshirt,217,2018,10,google,3455,288,12,Oct
29,sweatshirt,782,2018,11,google,3455,288,12,Nov
30,sweatshirt,400,2018,12,google,3455,288,12,Dec
31,sweatshirt,221,2019,1,google,3455,288,12,Jan
32,sweatshirt,199,2019,2,google,3455,288,12,Feb
33,sweatshirt,174,2019,3,google,3455,288,12,Mar
34,sweatshirt,185,2019,4,google,3455,288,12,Apr
35,sweatshirt,130,2019,5,google,3455,288,12,May
36,yoga pants,1031,2018,6,youtube,12380,1031,12,Jun
37,yoga pants,2185,2018,7,youtube,12380,1031,12,Jul
38,yoga pants,2370,2018,8,youtube,12380,1031,12,Aug
39,yoga pants,716,2018,9,youtube,12380,1031,12,Sep
40,yoga pants,1468,2018,10,youtube,12380,1031,12,Oct
41,yoga pants,5,2018,11,youtube,12380,1031,12,Nov
42,yoga pants,145,2018,12,youtube,12380,1031,12,Dec
43,yoga pants,490,2019,1,youtube,12380,1031,12,Jan
44,yoga pants,716,2019,2,youtube,12380,1031,12,Feb
45,yoga pants,145,2019,3,youtube,12380,1031,12,Mar
46,yoga pants,1641,2019,4,youtube,12380,1031,12,Apr
47,yoga pants,1468,2019,5,youtube,12380,1031,12,May
48,sweatpants,1785,2018,6,youtube,21420,1785,12,Jun
49,sweatpants,5579,2018,7,youtube,21420,1785,12,Jul
