,keyword,volume,year,month,engine,total_volume_for_last_12_months,avg_volume_for_last_12_months,total_months_seen
0,sweatband,0,2018,06,google,92,8,12
1,sweatband,15,2018,07,google,92,8,12
2,sweatband,12,2018,08,google,92,8,12
3,sweatband,9,2018,09,google,92,8,12
4,sweatband,5,2018,10,google,92,8,12
5,sweatband,7,2018,11,google,92,8,12
6,sweatband,4,2018,12,google,92,8,12
7,sweatband,7,2019,01,google,92,8,12
8,sweatband,7,2019,02,google,92,8,12
9,sweatband,7,2019,03,google,92,8,12
10,sweatband,5,2019,04,google,92,8,12
11,sweatband,7,2019,05,google,92,8,12
12,windbreaker,0,2018,06,google,724,60,12
13,windbreaker,50,2018,07,google,724,60,12
14,windbreaker,64,2018,08,google,724,60,12
15,windbreaker,63,2018,09,google,724,60,12
16,windbreaker,88,2018,10,google,724,60,12
17,windbreaker,66,2018,11,google,724,60,12
18,windbreaker,72,2018,12,google,724,60,12
19,windbreaker,51,2019,01,google,724,60,12
20,windbreaker,57,2019,02,google,724,60,12
21,windbreaker,58,2019,03,google,724,60,12
22,windbreaker,57,2019,04,google,724,60,12
23,windbreaker,55,2019,05,google,724,60,12
24,leggings,0,2018,06,google,1301,108,12
25,leggings,99,2018,07,google,1301,108,12
26,leggings,76,2018,08,google,1301,108,12
27,leggings,99,2018,09,google,1301,108,12
28,leggings,127,2018,10,google,1301,108,12
29,leggings,138,2018,11,google,1301,108,12
30,leggings,100,2018,12,google,1301,108,12
31,leggings,120,2019,01,google,1301,108,12
32,leggings,108,2019,02,google,1301,108,12
33,leggings,149,2019,03,google,1301,108,12
34,leggings,111,2019,04,google,1301,108,12
35,leggings,99,2019,05,google,1301,108,12
36,sweatband,0,2018,06,youtube,1,1,1
37,sweatband,0,2018,07,youtube,1,1,1
38,sweatband,0,2018,08,youtube,1,1,1
39,sweatband,0,2018,09,youtube,1,1,1
40,sweatband,1,2018,10,youtube,1,1,1
41,sweatband,0,2018,11,youtube,1,1,1
42,sweatband,0,2018,12,youtube,1,1,1
43,sweatband,0,2019,01,youtube,1,1,1
44,sweatband,0,2019,02,youtube,1,1,1
45,sweatband,0,2019,03,youtube,1,1,1
46,sweatband,0,2019,04,youtube,1,1,1
47,sweatband,0,2019,05,youtube,1,1,1
48,leggings,0,2018,06,youtube,4200,350,12
49,leggings,315,2018,07,youtube,4200,350,12
50,leggings,247,2018,08,youtube,4200,350,12
51,leggings,109,2018,09,youtube,4200,350,12
52,leggings,6,2018,10,youtube,4200,350,12
53,leggings,1140,2018,11,youtube,4200,350,12
54,leggings,597,2018,12,youtube,4200,350,12
55,leggings,145,2019,01,youtube,4200,350,12
56,leggings,1301,2019,02,youtube,4200,350,12
57,leggings,145,2019,03,youtube,4200,350,12
58,leggings,190,2019,04,youtube,4200,350,12
59,leggings,5,2019,05,youtube,4200,350,12
60,sweatband,0,2018,06,amazon,9104,759,11
61,sweatband,1444,2018,07,amazon,9104,759,11
62,sweatband,507,2018,08,amazon,9104,759,11
63,sweatband,1638,2018,09,amazon,9104,759,11
64,sweatband,2033,2018,10,amazon,9104,759,11
65,sweatband,507,2018,11,amazon,9104,759,11
66,sweatband,688,2018,12,amazon,9104,759,11
67,sweatband,1061,2019,01,amazon,9104,759,11
68,sweatband,16,2019,02,amazon,9104,759,11
69,sweatband,337,2019,03,amazon,9104,759,11
70,sweatband,873,2019,04,amazon,9104,759,11
71,sweatband,0,2019,05,amazon,9104,759,11
72,windbreaker,0,2018,06,amazon,41213,3435,12
73,windbreaker,3765,2018,07,amazon,41213,3435,12
74,windbreaker,3084,2018,08,amazon,41213,3435,12
75,windbreaker,4001,2018,09,amazon,41213,3435,12
76,windbreaker,5242,2018,10,amazon,41213,3435,12
77,windbreaker,5765,2018,11,amazon,41213,3435,12
78,windbreaker,3765,2018,12,amazon,41213,3435,12
79,windbreaker,4485,2019,01,amazon,41213,3435,12
80,windbreaker,4986,2019,02,amazon,41213,3435,12
81,windbreaker,2235,2019,03,amazon,41213,3435,12
82,windbreaker,1444,2019,04,amazon,41213,3435,12
83,windbreaker,2441,2019,05,amazon,41213,3435,12
84,leggings,0,2018,06,amazon,233146,19429,12
85,leggings,19363,2018,07,amazon,233146,19429,12
86,leggings,12455,2018,08,amazon,233146,19429,12
87,leggings,19682,2018,09,amazon,233146,19429,12
88,leggings,22906,2018,10,amazon,233146,19429,12
89,leggings,33640,2018,11,amazon,233146,19429,12
90,leggings,35743,2018,12,amazon,233146,19429,12
91,leggings,23883,2019,01,amazon,233146,19429,12
92,leggings,22581,2019,02,amazon,233146,19429,12
93,leggings,18724,2019,03,amazon,233146,19429,12
94,leggings,16191,2019,04,amazon,233146,19429,12
95,leggings,7978,2019,05,amazon,233146,19429,12
